lead_id,contact_id,campaign_id,lead_owner,email_clean,phone_clean,phone_valid,phone_issue,phone_source,phone_extension,company_clean,source_final,lead_status_clean,campaign_name,campaign_channel,campaign_source,lead_created_at,lead_converted_at,campaign_start_date,campaign_end_date,first_activity_date,last_activity_date,total_activities,unique_campaigns_count,activity_types_count,email_valid,has_contact,has_campaign,has_source,has_company,has_activity,lead_created_valid,lead_created_future,duplicate_email,duplicate_phone,duplicate_company_name,is_duplicate,missing_critical_fields_count,quality_score,quality_level,campaign_ready,campaign_ready_label,cleaning_priority
1,,128,Non renseigne,sarah.martinez1@insightplatforms.com,,False,Téléphone manquant,lead,,Insight Platforms,social media,mql,Partner - Brand Awareness - Q2 2024,partner,partner,2021-05-27 00:00:00,,2024-05-08 00:00:00,2024-08-22 00:00:00,2020-12-04 21:08:00,2024-05-09 12:53:00,4.0,4.0,3.0,True,False,True,True,True,True,True,False,False,False,True,False,1,75,Correct,True,Oui,Priorité faible
2,,13,Non renseigne,sarah.garcia2@techflowinc.com,,False,Téléphone manquant,lead,,TechFlow Inc,product led,working,Demand Gen Campaign - Organic Search,organic search,organic search,2020-01-17 00:00:00,,2024-05-07 00:00:00,2024-08-09 00:00:00,2020-12-06 05:53:00,2024-07-07 22:10:00,5.0,5.0,4.0,True,False,True,True,True,True,True,False,False,False,True,False,1,75,Correct,True,Oui,Priorité faible
3,,81,Non renseigne,james.sanchez@umbrella.co,+12572336619,True,OK,contact,,Agile Dynamics,event,converted,Webinar - Nurture - Q2 2024,webinar,webinar,2024-09-23 00:00:00,2024-11-30 00:00:00,2024-06-04 00:00:00,2024-07-31 00:00:00,2020-04-30 13:16:00,2024-06-12 17:09:00,3.0,3.0,2.0,True,False,True,True,True,True,True,False,False,False,False,False,0,90,Excellent,True,Oui,OK
4,,198,Non renseigne,daniel.rodriguez4@metasync.com,,False,Téléphone manquant,lead,,MetaSync,outbound cold,mql,FY2024 Nurture - Paid Search,paid search,paid search,2022-05-29 00:00:00,,2024-09-06 00:00:00,2024-10-10 00:00:00,2021-02-27 08:01:00,2024-09-29 17:17:00,4.0,4.0,4.0,True,False,True,True,True,True,True,False,False,False,True,False,1,75,Correct,True,Oui,Priorité faible
5,,198,Non renseigne,karen.lee5@scaleupsystems.com,,False,Téléphone manquant,lead,,ScaleUp Systems,inbound webinar,sql,FY2024 Nurture - Paid Search,paid search,paid search,2024-07-27 00:00:00,,2024-09-06 00:00:00,2024-10-10 00:00:00,2023-09-14 01:18:00,2024-10-02 21:16:00,3.0,3.0,2.0,True,False,True,True,True,True,True,False,False,False,True,False,1,75,Correct,True,Oui,Priorité faible
6,,40,Non renseigne,james.wilson6@cloudscalesystems.com,,False,Téléphone manquant,lead,,CloudScale Systems,inbound content,disqualified,FY2022 ABM - Referral,referral,referral,2021-12-11 00:00:00,,2022-03-27 00:00:00,2022-05-04 00:00:00,2021-02-06 00:39:00,2022-04-27 19:59:00,2.0,2.0,2.0,True,False,True,True,True,True,True,False,False,False,False,False,1,75,Correct,True,Oui,Priorité faible
7,,35,Non renseigne,robert.rodriguez7@vertexai.com,,False,Téléphone manquant,lead,,VertexAI,social media,disqualified,Content Syndication - Event Promotion - Q2 2024,content syndication,content syndication,2024-09-01 00:00:00,,2024-06-07 00:00:00,2024-07-13 00:00:00,2020-09-14 18:28:00,2024-07-04 06:47:00,5.0,5.0,4.0,True,False,True,True,True,True,True,False,False,False,True,False,1,75,Correct,True,Oui,Priorité faible
8,,75,Non renseigne,lisa.jones8@brightwavetech.com,,False,Téléphone manquant,lead,,BrightWave Tech,event,working,FY2023 Product Launch - Direct Mail,direct mail,direct mail,2023-02-27 00:00:00,,2023-08-23 00:00:00,2023-09-03 00:00:00,2020-04-07 15:16:00,2023-08-26 04:58:00,6.0,6.0,5.0,True,False,True,True,True,True,True,False,False,False,False,False,1,75,Correct,True,Oui,Priorité faible
9,,5,Non renseigne,james.garcia9@agiledynamics.com,,False,Téléphone manquant,lead,,Agile Dynamics,inbound content,mql,FY2023 Brand Awareness - Organic Search,organic search,organic search,2024-01-12 00:00:00,,2023-05-23 00:00:00,2023-06-14 00:00:00,2023-06-02 10:45:00,2023-06-02 10:45:00,1.0,1.0,1.0,True,False,True,True,True,True,True,False,False,False,False,False,1,75,Correct,True,Oui,Priorité faible
10,,128,Non renseigne,william.taylor10@agiledynamics.com,,False,Téléphone manquant,lead,,Agile Dynamics,outbound cold,disqualified,Partner - Brand Awareness - Q2 2024,partner,partner,2020-10-25 00:00:00,,2024-05-08 00:00:00,2024-08-22 00:00:00,2020-08-08 02:39:00,2024-05-12 11:21:00,6.0,5.0,6.0,True,False,True,True,True,True,True,False,False,False,False,False,1,75,Correct,True,Oui,Priorité faible
11,,22,Non renseigne,christopher.johnson@piedpiper.com,,False,Format possible mais numéro non validé,contact,,PulsePoint Digital,product led,converted,Nurture Campaign - Organic Search,organic search,organic search,2022-09-16 00:00:00,2022-11-13 00:00:00,2023-10-13 00:00:00,2023-12-06 00:00:00,2020-04-04 21:40:00,2023-10-29 22:53:00,6.0,6.0,4.0,True,False,True,True,True,True,True,False,False,False,False,False,1,75,Correct,True,Oui,Priorité faible
12,,37,Non renseigne,robert.garcia@umbrella.co,+13863411965,True,OK,contact,,PulsePoint Digital,inbound content,converted,Product Launch Campaign - Email,email,email,2022-05-08 00:00:00,2022-07-21 00:00:00,2024-10-25 00:00:00,2025-01-11 00:00:00,2021-04-21 03:34:00,2024-12-24 09:13:00,2.0,2.0,2.0,True,False,True,True,True,True,True,False,False,False,False,False,0,90,Excellent,True,Oui,OK
13,,49,Non renseigne,karen.rodriguez13@innovateco.com,,False,Téléphone manquant,lead,,InnovateCo,inbound web,working,Thought Leadership Campaign - Event,event,event,2021-06-10 00:00:00,,2022-08-06 00:00:00,2022-08-14 00:00:00,2020-02-06 10:41:00,2022-08-10 19:14:00,5.0,5.0,5.0,True,False,True,True,True,True,True,False,False,False,False,False,1,75,Correct,True,Oui,Priorité faible
14,,54,Non renseigne,christopher.rodriguez14@futureforge.com,,False,Téléphone manquant,lead,,FutureForge,product led,disqualified,Paid Search - Nurture - Q4 2022,,,2020-03-01 00:00:00,,2022-11-30 00:00:00,2023-01-16 00:00:00,2020-04-09 21:44:00,2022-12-29 03:06:00,4.0,4.0,2.0,True,False,True,True,True,True,True,False,False,False,False,False,1,75,Correct,True,Oui,Priorité faible
